Website,mission_statement,products_or_services,founded,headquarters,key_executives,notable_awards
https://www.ikea.com/in/en/,To create a better everyday life for the many people.,"Furniture, home furnishings, kitchenware, tableware, home decor,  lighting,  and more.  Offers bulk order options for businesses.",1952 (IKEA Family club founded; IKEA itself founded earlier),The provided text does not specify the headquarters location.,The provided text does not list key executives.,The provided text does not mention any notable awards.
https://www.lvmh.com,"The Art of Crafting Dreams.  LVMH strives to ensure the long-term development of each of its Maisons in keeping with their identity, their heritage and their expertise.  All LVMH Maisons craft products and services that strive for excellence and meet the highest ethical, social and environmental standards.","Wines & Spirits, Fashion & Leather Goods, Perfumes & Cosmetics, Watches & Jewelry, Selective Retailing, Other activities (including Hospitality and Media).  LVMH owns 75 prestigious brands.",1987 (through the merger of MoÃ«t Hennessy and Louis Vuitton),22 Avenue Montaigne in Paris,Bernard Arnault (Chairman and CEO),The provided text does not list specific awards received by LVMH.
https://www.chanel.com,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
https://www.hermes.com,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
https://www.gucci.com,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
https://www.pradagroup.com,"The provided text does not contain a concise mission statement, but it highlights the company's focus on luxury fashion,  cultural engagement (Fondazione Prada),  and sustainability initiatives.","Luxury fashion (Prada, Miu Miu), footwear (Church's, Car Shoe),  pastries (Marchesi 1824), fragrances, eyewear (through licensing agreements), and sailing (Luna Rossa).",1913,The provided text does not specify the headquarters location.,"The text mentions Miuccia Prada (creative co-direction), Patrizio Bertelli (previously instrumental in the company's development), Lorenzo Bertelli (Head of Corporate Social Responsibility), and Raf Simons (creative co-direction).  Specific current titles and roles aren't fully detailed.","The text mentions winning the PRADA Cup in 2021, but doesn't list other awards."
https://www.burberry.com,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
https://www.rolex.com,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
https://www.patek.com,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
https://www.omega.com,DwyerOmega is a manufacturer and global provider of precision measurement solutions that improve efficiency and sustainability for our customers.,"Precision measurement solutions, sensors, instruments, temperature measurement, pressure measurement, automation, control & monitoring, data acquisition, IIoT & wireless systems, force & strain measurement, level measurement, flow measurement, industrial heaters, calibration, calibration services, custom engineering.",Dwyer Instruments founded in 1931; Omega Engineering founded in 1962; DwyerOmega formed in 2022,The provided text does not specify the headquarters location.,The provided text does not list key executives.,The provided text does not mention any notable awards.
